U4E1F,丟,丢
U983B,頻,频
U983D,頽,颓
U9846,顆,颗
U984C,題,题
U984D,額,额
U984E,顎,颚
U984F,顏,颜
U9852,顒,颙
U9853,顓,颛
U9854,顔,颜
U9858,願,愿
U9859,顙,颡
U985B,顛,颠
U985E,類,类
U9862,顢,颟
U9865,顥,颢
U9867,顧,顾
U986B,顫,颤
U986C,顬,颥
U986F,顯,显
U9870,顰,颦
U9871,顱,颅
U9873,顳,颞
U9874,顴,颧
U98A8,風,风
U98AD,颭,飐
U98AE,颮,飑
U98AF,颯,飒
U98B1,颱,台
U98B3,颳,刮
U98B6,颶,飓
U98B8,颸,飔
U98BA,颺,扬
U98BB,颻,飖
U98BC,颼,飕
U98C0,飀,飗
U98C3,飃,飘
U98C4,飄,飘
U98C6,飆,飙
U98C7,飇,飙
U98C8,飈,飙
U98DB,飛,飞
U98E2,飢,饥
U98E3,飣,饤
U98E5,飥,饦
U98E9,飩,饨
U98EA,飪,饪
U98EB,飫,饫
U98ED,飭,饬
U98EF,飯,饭
U98F2,飲,饮
U98F4,飴,饴
U98FC,飼,饲
U98FD,飽,饱
U98FE,飾,饰
U98FF,飿,饳
U9903,餃,饺
U9904,餄,饸
U9905,餅,饼
U9909,餉,饷
U990A,養,养
U990C,餌,饵
U990E,餎,饹
U990F,餏,饻
U9911,餑,饽
U9912,餒,馁
U9913,餓,饿
U9915,餕,馂
U9916,餖,饾
U9918,餘,余
U991A,餚,肴
U991B,餛,馄
U991C,餜,馃
U991E,餞,饯
U9921,餡,馅
U9928,館,馆
U9931,餱,糇
U9933,餳,饧
U9935,餵,喂
U9936,餶,馉
U9937,餷,馇
U993A,餺,馎
U993C,餼,饩
U993D,餽,馈
U993E,餾,馏
U993F,餿,馊
U9941,饁,馌
U9943,饃,馍
U9945,饅,馒
U9948,饈,馐
U9949,饉,馑
U994A,饊,馓
U994B,饋,馈
U994C,饌,馔
U9951,饑,饥
U9952,饒,饶
U9957,饗,飨
U995C,饜,餍
U995D,饝,馍
U995E,饞,馋
U9962,饢,馕
U99AC,馬,马
U99AD,馭,驭
U99AE,馮,冯
U99B1,馱,驮
U99B3,馳,驰
U99B4,馴,驯
U99B9,馹,驲
U99C1,駁,驳
U99D0,駐,驻
U99D1,駑,驽
U99D2,駒,驹
U99D4,駔,驵
U99D5,駕,驾
U99D8,駘,骀
U99D9,駙,驸
U99DB,駛,驶
U99DD,駝,驼
U99DF,駟,驷
U99E1,駡,骂
U99E2,駢,骈
U99ED,駭,骇
U99EE,駮,驳
U99F0,駰,骃
U99F1,駱,骆
U99F8,駸,骎
U99FF,駿,骏
U9A01,騁,骋
U9A02,騂,骍
U9A05,騅,骓
U9A0C,騌,骔
U9A0D,騍,骒
U9A0E,騎,骑
U9A0F,騏,骐
U9A10,騐,验
U9A16,騖,骛
U9A17,騗,骗
U9A19,騙,骗
U9A23,騣,鬃
U9A24,騤,骙
U9A2B,騫,骞
U9A2D,騭,骘
U9A2E,騮,骝
U9A30,騰,腾
U9A36,騶,驺
U9A37,騷,骚
U9A38,騸,骟
U9A3E,騾,骡
U9A40,驀,蓦
U9A41,驁,骜
U9A42,驂,骖
U9A43,驃,骠
U9A44,驄,骢
U9A45,驅,驱
U9A4A,驊,骅
U9A4C,驌,骕
U9A4D,驍,骁
U9A4F,驏,骣
U9A55,驕,骄
U9A57,驗,验
U9A58,驘,骡
U9A5A,驚,惊
U9A5B,驛,驿
U9A5F,驟,骤
U9A62,驢,驴
U9A64,驤,骧
U9A65,驥,骥
U9A66,驦,骦
U9A6A,驪,骊
U9A6B,驫,骉
U9ABE,骾,鲠
U9ACF,髏,髅
U9AD2,髒,脏
U9AD4,體,体
U9AD5,髕,髌
U9AD6,髖,髋
U9AE9,髩,鬓
U9AEE,髮,发
U9B01,鬁,疬
U9B06,鬆,松
U9B0D,鬍,胡
U9B1A,鬚,须
U9B22,鬢,鬓
U9B25,鬥,斗
U9B26,鬦,斗
U9B27,鬧,闹
U9B28,鬨,哄
U9B29,鬩,阋
U9B2D,鬭,斗
U9B2E,鬮,阄
U9B31,鬱,郁
U9B4E,魎,魉
U9B58,魘,魇
U9B5A,魚,鱼
U9B5B,魛,鱽
U9B62,魢,鱾
U9B68,魨,鲀
U9B6F,魯,鲁
U9B74,魴,鲂
U9B77,魷,鱿
U9B7A,魺,鲄
U9B81,鮁,鲅
U9B83,鮃,鲆
U9B8A,鮊,鲌
U9B8B,鮋,鲉
U9B8C,鮌,鲧
U9B8D,鮍,鲏
U9B8E,鮎,鲇
U9B90,鮐,鲐
U9B91,鮑,鲍
U9B92,鮒,鲋
U9B93,鮓,鲊
U9B9A,鮚,鲒
U9B9C,鮜,鲘
U9B9E,鮞,鲕
U9BA6,鮦,鲖
U9BAA,鮪,鲔
U9BAB,鮫,鲛
U9BAD,鮭,鲑
U9BAE,鮮,鲜
U9BB3,鮳,鲓
U9BB6,鮶,鲪
U9BB7,鮷,鳀
U9BBA,鮺,鲝
U9BC0,鯀,鲧
U9BC1,鯁,鲠
U9BC7,鯇,鲩
U9BC9,鯉,鲤
U9BCA,鯊,鲨
U9BD2,鯒,鲬
U9BD4,鯔,鲻
U9BD5,鯕,鲯
U9BD6,鯖,鲭
U9BD7,鯗,鲞
U9BDB,鯛,鲷
U9BDD,鯝,鲴
U9BE1,鯡,鲱
U9BE2,鯢,鲵
U9BE4,鯤,鲲
U9BE7,鯧,鲳
U9BE8,鯨,鲸
U9BEA,鯪,鲮
U9BEB,鯫,鲰
U9BF0,鯰,鲶
U9BF4,鯴,鲺
U9BF5,鯵,鲹
U9BF7,鯷,鳀
U9BFD,鯽,鲫
U9BFF,鯿,鳊
U9C01,鰁,鳈
U9C02,鰂,鲗
U9C03,鰃,鳂
U9C08,鰈,鲽
U9C09,鰉,鳇
U9C0C,鰌,鳅
U9C0D,鰍,鳅
U9C0F,鰏,鲾
U9C10,鰐,鳄
U9C12,鰒,鳆
U9C13,鰓,鳃
U9C1B,鰛,鳁
U9C1C,鰜,鳒
U9C1F,鰟,鳑
U9C20,鰠,鳋
U9C23,鰣,鲥
U9C25,鰥,鳏
U9C28,鰨,鳎
U9C29,鰩,鳐
U9C2D,鰭,鳍
U9C2E,鰮,鳁
U9C31,鰱,鲢
U9C32,鰲,鳌
U9C33,鰳,鳓
U9C35,鰵,鳘
U9C37,鰷,鲦
U9C39,鰹,鲣
U9C3A,鰺,鲹
U9C3B,鰻,鳗
U9C3C,鰼,鳛
U9C3E,鰾,鳔
U9C42,鱂,鳉
U9C45,鱅,鳙
U9C48,鱈,鳕
U9C49,鱉,鳖
U9C52,鱒,鳟
U9C53,鱓,鳝
U9C54,鱔,鳝
U9C56,鱖,鳜
U9C57,鱗,鳞
U9C58,鱘,鲟
U9C5D,鱝,鲼
U9C5F,鱟,鲎
U9C60,鱠,鲙
U9C63,鱣,鳣
U9C64,鱤,鳡
U9C67,鱧,鳢
U9C68,鱨,鲿
U9C6D,鱭,鲚
U9C6F,鱯,鳠
U9C77,鱷,鳄
U9C78,鱸,鲈
U9C7A,鱺,鲡
U9CE5,鳥,鸟
U9CE7,鳧,凫
U9CE9,鳩,鸠
U9CF2,鳲,鸤
U9CF3,鳳,凤
U9CF4,鳴,鸣
U9CF6,鳶,鸢
U9D06,鴆,鸩
U9D07,鴇,鸨
U9D09,鴉,鸦
U9D12,鴒,鸰
U9D15,鴕,鸵
U9D1B,鴛,鸳
U9D1D,鴝,鸲
U9D1E,鴞,鸮
U9D1F,鴟,鸱
U9D23,鴣,鸪
U9D26,鴦,鸯
U9D28,鴨,鸭
U9D2C,鴬,鸴
U9D2F,鴯,鸸
U9D30,鴰,鸹
U9D34,鴴,鸻
U9D3B,鴻,鸿
U9D3F,鴿,鸽
U9D42,鵂,鸺
U9D43,鵃,鸼
U9D50,鵐,鹀
U9D51,鵑,鹃
U9D52,鵒,鹆
U9D53,鵓,鹁
U9D5C,鵜,鹈
U9D5D,鵝,鹅
U9D5E,鵞,鹅
U9D60,鵠,鹄
U9D61,鵡,鹉
U9D6A,鵪,鹌
U9D6C,鵬,鹏
U9D6E,鵮,鹐
U9D6F,鵯,鹎
U9D72,鵲,鹊
U9D76,鵶,鸦
U9D77,鵷,鹓
U9D7E,鵾,鹍
U9D87,鶇,鸫
U9D89,鶉,鹑
U9D8A,鶊,鹒
U9D93,鶓,鹋
U9D96,鶖,鹙
U9D98,鶘,鹕
U9D9A,鶚,鹗
U9DA1,鶡,鹖
U9DA4,鶤,鹍
U9DA5,鶥,鹛
U9DA9,鶩,鹜
U9DAC,鶬,鸧
U9DAF,鶯,莺
U9DB2,鶲,鹟
U9DB4,鶴,鹤
U9DB9,鶹,鹠
U9DBA,鶺,鹡
U9DBB,鶻,鹘
U9DBC,鶼,鹣
U9DBF,鶿,鹚
U9DC0,鷀,鹚
U9DC1,鷁,鹢
U9DC2,鷂,鹞
U9DC4,鷄,鸡
U9DCA,鷊,鹝
U9DD3,鷓,鹧
U9DD6,鷖,鹥
U9DD7,鷗,鸥
U9DD9,鷙,鸷
U9DDA,鷚,鹨
U9DE5,鷥,鸶
U9DE6,鷦,鹪
U9DEB,鷫,鹔
U9DEF,鷯,鹩
U9DF0,鷰,燕
U9DF2,鷲,鹫
U9DF3,鷳,鹇
U9DF4,鷴,鹇
U9DF8,鷸,鹬
U9DF9,鷹,鹰
U9DFA,鷺,鹭
U9DFC,鷼,鹇
U9E07,鸇,鹯
U9E0C,鸌,鹱
U9E0E,鸎,莺
U9E0F,鸏,鹲
U9E15,鸕,鸬
U9E18,鸘,鹴
U9E1A,鸚,鹦
U9E1B,鸛,鹳
U9E1D,鸝,鹂
U9E1E,鸞,鸾
U9E75,鹵,卤
U9E79,鹹,咸
U9E7A,鹺,鹾
U9E7C,鹼,碱
U9E7D,鹽,盐
U9E85,麅,狍
U9E97,麗,丽
U9EA5,麥,麦
U9EA9,麩,麸
U9EAA,麪,面
U9EAF,麯,曲
U9EB4,麴,曲
U9EB5,麵,面
U9EBC,麼,么
U9EBD,麽,么
U9EC3,黃,黄
U9ECC,黌,黉
U9EDE,點,点
U9EE8,黨,党
U9EF2,黲,黪
U9EF4,黴,霉
U9EF6,黶,黡
U9EF7,黷,黩
U9EFD,黽,黾
U9EFF,黿,鼋
U9F02,鼂,鼌
U9F07,鼇,鳌
U9F08,鼈,鳖
U9F09,鼉,鼍
U9F15,鼕,冬
U9F34,鼴,鼹
U9F47,齇,齄
U9F4A,齊,齐
U9F4B,齋,斋
U9F4E,齎,赍
U9F4F,齏,齑
U9F52,齒,齿
U9F54,齔,龀
U9F55,齕,龁
U9F57,齗,龂
U9F59,齙,龅
U9F5C,齜,龇
U9F5F,齟,龃
U9F60,齠,龆
U9F61,齡,龄
U9F63,齣,出
U9F66,齦,龈
U9F67,齧,啮
U9F6A,齪,龊
U9F6C,齬,龉
U9F72,齲,龋
U9F76,齶,腭
U9F77,齷,龌
U9F8D,龍,龙
U9F90,龐,庞
U9F94,龔,龚
U9F95,龕,龛
U9F9C,龜,龟
