U4E1F,丟,丢
U6207,戇,戆
U6214,戔,戋
U6227,戧,戗
U6229,戩,戬
U622F,戯,戏
U6230,戰,战
U6232,戲,戏
U6236,戶,户
U6261,扡,扦
U62CB,拋,抛
U633E,挾,挟
U6368,捨,舍
U636B,捫,扪
U6372,捲,卷
U6383,掃,扫
U6384,掄,抡
U6397,掗,挜
U6399,掙,挣
U639B,掛,挂
U63A1,採,采
U63C0,揀,拣
U63DA,揚,扬
U63DB,換,换
U63EE,揮,挥
U63F9,揹,背
U6406,搆,构
U6407,搇,揿
U640D,損,损
U6416,搖,摇
U6417,搗,捣
U6436,搶,抢
U643E,搾,榨
U6451,摑,掴
U645C,摜,掼
U645F,摟,搂
U6463,摣,揸
U646F,摯,挚
U6473,摳,抠
U6476,摶,抟
U647A,摺,折
U647B,摻,掺
U6488,撈,捞
U648F,撏,挦
U6490,撐,撑
U6493,撓,挠
U649A,撚,捻
U649F,撟,挢
U64A3,撣,掸
U64A5,撥,拨
U64AB,撫,抚
U64B2,撲,扑
U64B3,撳,揿
U64BB,撻,挞
U64BE,撾,挝
U64BF,撿,捡
U64C1,擁,拥
U64C4,擄,掳
U64C7,擇,择
U64CA,擊,击
U64CB,擋,挡
U64D4,擔,担
U64D5,擕,携
U64DA,據,据
U64E0,擠,挤
U64E1,擡,抬
U64E3,擣,捣
U64E7,擧,举
U64EC,擬,拟
U64EF,擯,摈
U64F0,擰,拧
U64F1,擱,搁
U64F2,擲,掷
U64F4,擴,扩
U64F7,擷,撷
U64FA,擺,摆
U64FB,擻,擞
U64FC,擼,撸
U64FE,擾,扰
U6504,攄,摅
U6506,攆,撵
U650F,攏,拢
U6514,攔,拦
U6516,攖,撄
U6519,攙,搀
U651B,攛,撺
U651C,攜,携
U651D,攝,摄
U6522,攢,攒
U6523,攣,挛
U6524,攤,摊
U6529,攩,挡
U652A,攪,搅
U652C,攬,揽
U6537,攷,考
U654D,敍,叙
U6557,敗,败
U6558,敘,叙
U656D,敭,扬
U6575,敵,敌
U6578,數,数
U657A,敺,驱
U6582,斂,敛
U6583,斃,毙
U6595,斕,斓
U65AC,斬,斩
U65B7,斷,断
U65BC,於,于
U65C2,旂,旗
U6607,昇,升
U6642,時,时
U6649,晉,晋
U665D,晝,昼
U6688,暈,晕
U6689,暉,晖
U6698,暘,旸
U66A2,暢,畅
U66AB,暫,暂
U66B1,暱,昵
U66C4,曄,晔
U66C6,曆,历
U66C7,曇,昙
U66C9,曉,晓
U66CF,曏,向
U66D6,曖,暧
U66E0,曠,旷
U66E1,曡,叠
U66E8,曨,昽
U66EC,曬,晒
U66F8,書,书
U6703,會,会
U6727,朧,胧
U6771,東,东
U67B4,枴,拐
U67F5,柵,栅
U67FA,柺,拐
U687F,桿,杆
U6894,梔,栀
U6898,梘,枧
U689D,條,条
U689F,梟,枭
U68B1,梱,捆
U68C4,棄,弃
U68D6,棖,枨
U68D7,棗,枣
U68DF,棟,栋
U68E7,棧,栈
U68EC,棬,桊
U68F2,棲,栖
U68F6,棶,梾
U690F,椏,桠
U694A,楊,杨
U6953,楓,枫
U6968,楨,桢
U696D,業,业
U6975,極,极
U69A6,榦,干
U69AA,榪,杩
U69AE,榮,荣
U69BF,榿,桤
U69C3,槃,盘
U69CB,構,构
U69CD,槍,枪
U69D3,槓,杠
U69E7,槧,椠
U69E8,槨,椁
U69F3,槳,桨
U69FC,槼,规
U6A01,樁,桩
U6A02,樂,乐
U6A05,樅,枞
U6A11,樑,梁
U6A13,樓,楼
U6A19,標,标
U6A1E,樞,枢
U6A23,樣,样
U6A37,樷,丛
U6A38,樸,朴
U6A39,樹,树
U6A3A,樺,桦
U6A48,橈,桡
U6A4B,橋,桥
U6A5F,機,机
U6A62,橢,椭
U6A6B,橫,横
U6A70,橰,槔
U6A81,檁,檩
U6A89,檉,柽
U6A9C,檜,桧
U6A9F,檟,槚
U6AA2,檢,检
U6AA3,檣,樯
U6AAE,檮,梼
U6AAF,檯,台
U6AB3,檳,槟
U6AB8,檸,柠
U6ABB,檻,槛
U6ABE,檾,苘
U6AC2,櫂,棹
U6AC3,櫃,柜
U6AD3,櫓,橹
U6ADA,櫚,榈
U6ADB,櫛,栉
U6ADD,櫝,椟
U6ADE,櫞,橼
U6ADF,櫟,栎
U6AE5,櫥,橱
U6AE7,櫧,槠
U6AE8,櫨,栌
U6AEA,櫪,枥
U6AEB,櫫,橥
U6AEC,櫬,榇
U6AF3,櫳,栊
U6AF8,櫸,榉
U6AFA,櫺,棂
U6AFB,櫻,樱
